Name,Medicine_Name,Alias,English_Name,Medicinal_Part,Source,Morphology,Distribution,Processing,Properties,Type,Effect,Usage,Constituent,Formula,Pharmacology,Taboo
酢浆草,酢浆草 cujiangcao,酸箕、三叶酸草、醋母草、酸迷迷草、铺地莲。,Herba Oxalidis Corniculatae。,酢浆草科植物酢浆草Oxalis corniculataL.的全草。,,多年生草本。茎匍匐或斜升，多分枝，长达50厘米，上被疏长毛，节节生根。叶互生，掌状复叶，叶柄长2.5～5厘米；托叶与叶柄连生，形小；小叶3枚，倒心脏形，长5～10毫米，无柄。花1至数朵呈腋生的伞状花序，花序柄与叶柄等长；苞片线形；萼片5，花瓣5，黄色，倒卵形；雄蕊10，花丝下部联合成筒；子房心皮5，5室，花柱5，离生，柱头头状。蒴果近圆柱形，长1～1.5厘米，有5棱，被柔毛，熟时裂开将种子弹出。种子小，扁卵形，褐色。花期5～7月。,生于路旁、田园、住宅及沟边较湿润处。分布于我国南北各地。,夏、秋季采收，鲜用或晒干。,长14～25厘米，被疏毛，茎匍匐或斜升，分枝多，茎叶多卷曲或皱缩。小叶多皱缩或破碎，完整者展平后呈倒心形，长5～10毫米，质薄而脆。秋季采收者可见残留的花，黄色花瓣多已部分脱落，有时可见近圆柱形、外被柔毛的蒴果。气微，味酸。以身干、体轻、色绿、茎叶多者为佳。,性寒，味酸。归肝经、肺经、膀胱经。,清热利湿、凉血散瘀、解毒消肿。属清热药下属分类的清热燥湿药。,用量10～30克；或研末；或鲜品绞汁饮。外用：适量，煎水洗、捣烂敷、捣汁涂或煎水漱口。用治湿热泄泻、痢疾、热淋、血淋、小便不利；感冒发热、咽喉肿痛；痈肿、疔疮、乳毒、齿龈腐烂、口舌生疮；烫火灼伤、蛇咬伤；脚癣、湿疹。,含抗坏血酸、去氢抗坏血酸、丙酮酸、乙醛酸。体壁细胞含铁蛋白。另含牡荆素、异牡荆素、2-庚烯醛等成分。,①治咳嗽：酢浆草(蜜炙)9克，桑白皮(蜜炙)3克。水煎服。(《陕西中草药》),煎剂在试管内对金黄色葡萄球菌、福氏痢疾杆菌、伤寒杆菌、绿脓杆菌、大肠杆菌均有抑制作用。,孕妇及体虚者慎服。
醉鱼草,醉鱼草 zuì yú cǎo,鱼尾草、醉鱼儿草、樚木、闹鱼花、痒见消、四方麻、阳包树、鱼鳞子、药杆子、驴尾草、羊尾巴、防痛树、鸡公尾、毒鱼藤、鲤鱼花草、药鳗老醋、野巴豆、老阳花、萝卜树子、药鱼子、土蒙花、花玉成、四棱麻、羊饱药、羊白婆、金鸡尾、洞庭草、白皮消、铁帚尾、红鱼波、红鱼皂、铁线尾、四季青、白袍花、糖茶、水泡木、雉尾花、楼梅草、鱼泡草、鱼藤草、洋波、鱼背子花、一串花、狗头鹰、红鱼鲄、鱼白子花、野刚子、鱼尾子、鱼花草、毒鱼草。,,马钱科植物醉鱼草Buddleja lindleyana Fort.的茎叶。,,落叶灌木，高1～3米，树皮茶褐色。小枝具四棱而略带翼状，幼时密被黄色星状毛及鳞片。叶对生，椭圆形或卵状披针形，长3～10厘米，宽1.5～3厘米，纸质，先端尖，基部楔形或钝圆，全缘或有疏锯齿，幼时背面密被黄绿色星状毛及鳞片。花序穗状，直立，长7～20厘米;花萼、花冠4裂，均有鳞片;花冠紫色，稍弯曲，冠筒内面白紫色，具细柔毛;雄蕊4，花丝极短，着生于花冠筒下部;子房上位，2室。蒴果矩圆形，被鳞片。种子无翅。花期4～8月，果期10～11月。,生于山坡、溪边的灌丛中，亦有栽培以供观赏。分布于长江以南大部分地区。,全年可采全株或叶，晒干。,小枝呈四棱柱形，表面茶褐色。幼枝具密被黄色星状毛及鳞片。叶对生，椭圆形或卵状披针形，表面浅黄棕色，先端尖，基部楔形或钝圆，全缘或有疏锯齿，质脆易碎。花序穗状，长7～20厘米，花冠4裂，呈暗棕色。气微，味微苦。,性温，味苦、辛。有小毒。,止咳定喘，活血祛瘀，驱虫。,用量10～30克，水煎服。鲜草量可酌情加大。临床上可用于治疗感冒、咳嗽、哮喘以及跌打损伤，外伤出血。还可治疗钩虫病。,本品全株含醉鱼草苷、醉鱼草糖苷及多种黄酮类成分。,,作用醉鱼草有某些杀昆虫和抑菌作用。,本种花叶有毒，如服用过量会引起头晕、呕吐、呼吸困难、四肢麻木和震颤。
走马胎,走马胎 zoumatai,走马风、走马藤、大发药。,Radix Ardisiae Gigantifoliae。,,紫金牛科植物走马胎Ardisia gigantifolia Stapf.的根茎。,常绿小灌木。根茎呈念珠状，膨大，粗壮。叶通常集于枝端，纸质，叶片长椭圆形或长圆状披针形，先端渐尖，基部渐狭成一短柄，边缘有细锯齿，下面红色。圆锥花序顶生；花淡紫色，萼片5裂片近三角形，花冠5深裂，裂片卵形至广卵圆形；雄蕊着生于花冠管的基部；子房上位，花柱线形，浆果圆形，熟时红色，具细长的果柄。花期4~7月，果期10~12月。,生于林下、山谷或溪旁等潮湿处。分布于广西、广东、江西、福建等地。,秋季采挖，除去茎叶、须根和泥沙，洗净，晒干。,圆柱形，常膨大呈念珠状，直径1.5~4厘米，表面灰褐色至暗褐色，有明显的细密或粗大纵向皱纹，习称“蛤蟆皮”。皮部易剥离，厚约2毫米，用刀刮开皮层可见密布紫红色小窝点，习称“血窝点”。质坚硬，难折断，断面不平坦，皮部淡紫红色，木部发达，白色带微红，有明显的放射纹，中央有淡红紫色髓部。气微，味微苦。,性温，味辛。归肝经、脾经。,祛风湿、壮筋骨、活血祛瘀。属祛风湿药下属分类的祛风湿强筋骨药。,用量9~15克，煎服或浸酒服；外用适量，研末调敷，用治风湿筋骨疼痛、跌打损伤、产后血瘀、痈疽溃疡。,我国广东、广西部分地区以茶茱萸科植物甜果藤Mappianthus iodoides Hand.-Mazz.根及根茎作走马胎药用，商品称“黄马胎”。其表面淡灰黄色，无“蛤蟆皮”与“血窝点”。断面皮部较厚而疏松，木部浅黄白色，射线粗。气微香，味微苦、涩。应注意加以区别。,,,尚不明确。
棕榈,棕榈 zonglv,棕毛、棕榈皮、拼榈木皮、棕皮。,Trachycarpi Petiolus。,棕榈科棕榈Trachycarpus fortunei (Hook.f.)H. Wendl.的叶鞘纤维。,,常绿乔木。干圆柱形，不分枝。叶簇生于干顶；叶片圆扇形，开展时掌状，深裂至叶片的中部以上；叶柄质坚硬，两侧边缘具刺，柄基部有抱茎的叶鞘，分裂为棕褐色纤维状毛(即棕衣)。肉穗状花序，自叶丛中抽出，下部有多数大形鞘状苞；花小，多数，淡黄色，单性，雌雄异株。核果球形或近肾形，具短柄，常有宿存的花被片；种子1。花期4～5月，果期11～12月。,生于山林疏林。主产于华东、华南、西南各地。,采收时割取叶鞘，除去纤维状棕毛，晒干。,长条板状，一端较窄而厚，另一端较宽而稍薄，大小不等。表面红棕色，粗糙，有纵直皱纹；一面有明显的凸出纤维，纤维的两侧着生多数棕色茸毛。质硬而脆，不易折断。气臭，味淡。,性平，味苦、涩。归肺经、肝经、大肠经。,收敛止血、止痢止带。属止血药下属分类的收敛止血药。,用量3～9克。外用：适量，研末，外敷。一般炮制后使用。用治各种出血症，如吐血、衄血、尿血、便血，尤多用于崩漏。,本品主要含葡萄糖木犀草素、木犀草素-7-O-芸香糖苷、甲基原棕榈皂苷B、对羟基苯甲酸、右旋儿茶素、原儿茶酸、没食子酸等成分。,①治妇人经血不止：棕榈皮(烧灰)、柏叶(焙)各30克。上二味捣罗为散，酒调下6克。(《圣济总录》棕榈皮散),可缩短凝血时间，具有止血作用。,出血诸证瘀滞未尽者不宜独用。
自然铜,自然铜 zirantong,石髓铅、方块铜。,Pyritum,硫化物类矿物黄铁矿Pyrite的矿石。,,,主产于四川、陕西、云南、辽宁、河北、湖南、广东等地。,全年可采，采挖后选取方块状、黄色光亮者，除去杂石、沙土及黑锈。, 多呈方块状，大小不一，边长0.2～2.5厘米。表面亮黄色，有金属光泽，有的表面棕褐色，无金属光泽，具棕黑色或墨绿色细条纹及砂眼。立方体相邻晶面上 条纹相互垂直。条痕绿黑色或棕红色。体重，质坚硬或稍脆，易砸碎，断面黄白色，有金属光泽或棕褐色，可见银白色亮星。无臭，无味。,性平，味辛。归肝经。,散瘀、接骨、止痛。属活血化瘀药下属分类的活血止痛药。,用量3～9克，多入丸、散，若煎服，宜先煎；外用适量。用治跌扑肿痛，筋骨折伤。,自然铜主含二硫化铁。亦有铜、镍、钡等多种金属混入。, ①治打扑伤：自然铜(研极细，水飞过)同当归、没药各1.5克。以酒调频服，仍以干摩痛处。(《本草衍义》),口服含有自然铜的接骨丹，对骨折愈合有促进作用。在地方性甲状腺肿病地区的井水中加入自然铜，可起到预防作用。自然铜在试管中对多种病原性真菌均有不同程度的抗真菌作用。,阴虚火旺，血虚无瘀者忌服。
紫珠叶,紫珠叶 zizhuye,止血草、老蟹眼、白毛柴、紫珠草、紫荆、紫珠。,Callicarpae Formosanae Folium。,马鞭草科植物杜虹花Callicarpa formosana Rolfe的叶。,,落叶灌木。小枝被黄褐色星状毛。叶对生，叶片卵状椭圆形或椭圆形，基部钝圆形或阔楔形，上面有细小粗毛，下面有黄褐色星毛，侧脉8～12对，边缘有齿牙及细锯齿；叶柄密被黄褐色星毛。复聚伞花序腋生；萼钟形，4裂，裂片钝三角形，萼和柄均被星毛；花冠短筒状，4裂，紫色，无毛；雄蕊4，长于花冠两倍；雌蕊1，子房4室，花柱细长，高于雄蕊，柱头单一。小核果紫红色。花期夏、秋间。,生于林中或灌木丛中。分布于江苏、浙江、江西、福建等地。,夏、秋季采摘，晒干。生用或鲜用。,多皱卷，有时破碎。展平后完整叶片卵状椭圆形，长6～14厘米，宽2.5～7厘米，顶端渐尖或短尖，边缘有细锯齿，近基部全缘，上面灰绿色或棕绿色，粗糙，下面淡绿色或淡棕绿色，被棕黄色腺点；叶柄长0.5～2.5厘米。无臭，味微苦涩。,性凉，味苦、涩。归肝经、肺经、胃经。,收敛止血、清热解毒。属止血药收敛止血药,用量10～15克，鲜品30～60克；外用适量，鲜品捣敷或研末撒。用治血热所致各种出血症，尤以消化道、呼吸道出血效果较好；外治痈疽疮毒、毒蛇咬伤；热毒咽喉肿痛、目赤肿痛等。,含缩合鞣质、黄酮类、中性树脂、糖类、羟基化合物及镁、钙和微量铁盐、3，5，7，4'-四甲氧基黄酮、5-羟基-3，4，7，3'-四甲氧基黄酮、熊果酸等成分。,①治咯血：干紫珠叶末1.5～2克。调鸡蛋清，每4小时服1次；继用干紫珠叶末6克，水煎，代茶常饮。(《福建民间草药》),对纤溶系统也有显著的抑制作用；能增加血小板，缩短出血、凝血酶原、血块收缩时间，使蛙肠系膜血管收缩；对大肠杆菌、弗氏痢疾杆菌、金黄色葡萄球菌、链球菌等有抑制作用。,本品性凉，虚寒性出血患者慎服。
紫苑,紫苑 ziyuan,紫菀、青菀、辫紫苑、软紫苑、返魂草根。,Tatarian Aster Root。,,菊科植物紫苑Aster tataricus L.f.的根及根茎。,多年生草本，高1～1.5米。根茎短，密生多数细根，根皮紫红色。茎直立，上部疏生短毛。基生叶丛生，长椭圆形，长20～50厘米，宽6～12厘米，基部渐狭呈翼状柄，边缘具锯齿，两面疏生糙毛，叶柄长，花期枯萎；茎生叶互生，卵形或长椭圆形，长18～35厘米，宽5～10厘米，渐上无柄。头状花序排成伞房状，有长梗，密被短毛；总苞片球形，总苞片3层，边缘紫红色；舌状花蓝紫色，筒状花黄色。瘦果扁平，一侧弯凸，一侧平直，有短毛，冠毛灰白色或带红色，较瘦果长3～4倍。花期7～8月，果期8～10月。,生于山坡、草地、河边。河北、安徽等地有大量栽培。分布于黑龙江、吉林、辽宁、河北、山西、内蒙古、安徽、陕西、甘肃、青海等地。,春、秋季采挖，除去有节的根茎(习称“母根”)和泥沙，编成辫状晒干，或直接晒干。,不规则块状，大小不一，顶端有茎、叶的残基，质稍硬。根茎簇生多数细根，长3～15厘米，直径0.1～0.3厘米，多编成辫状；表面紫红色或灰红色，有纵皱纹；质较柔韧。气微香，味甜、微苦。,性温，味辛、苦。归肺经。,润肺下气、消痰止咳。属化痰止咳平喘药下属分类的止咳平喘药,用量5～9克，水煎服；润肺宜蜜炙用。用治痰多喘咳、新久咳嗽、劳嗽咳血。,含紫苑酮、槲皮素、无羁萜、表无羁萜和挥发油。挥发油中含毛叶醇、毛叶醇乙酯、茴香醚、烃、脂肪酸、芳香酸等，并分得琥珀酸。另含紫菀氯环五肽、芦丁、紫菀苷A、紫菀苷B、紫菀苷C，表无羁萜醇、毛叶醇等成分。,①治久嗽不瘥：紫苑(去芦头)、款冬花各30克，百部15克。三物捣罗为散。每服9克，生姜三片，乌梅一个，同煎汤调下，食后、欲卧各一服。(《本草图经》),现代药理试验证实，有祛痰镇咳作用，并对金黄色葡萄球菌、痢疾杆菌、伤寒杆菌、大肠杆菌、绿脓杆菌、霍乱弧菌皆有抑制作用;对结核杆菌亦有抑制作用。此外，还有抗病毒、抗癌、溶血及利尿等作用。,有实热者慎服。
紫玉簪,紫玉簪 ziyuzan,玉泡花、紫萼。,Flower Of Blue Plantainlily。,,百合科植物紫萼Hosta ventricosa( Salisb.) Steamn的全草。,多年生草本。根茎粗壮。叶基生，卵形，长8～16厘米，宽5～12厘米，先端急尖，基部楔形，侧脉约7对，明显；叶柄长20～30厘米。花茎高45～60厘米，总状花序顶生，通常有叶状苞片；花淡紫色，长3.5～5厘米，花丝基部与花被管分离；蒴果三棱状圆柱形，长约3厘米。花期8～9月，果期10月。,生于山坡、林下阴湿处；全国各地有栽培。分布于河北、山东、浙江、江苏、江西、福建等地。,夏、秋季采收，鲜用或晒干。根全年可采，多鲜用。,全草呈淡黄色至黄棕色，叶卵形，先端有锐尖，基部楔形，侧脉明显，多7对，叶柄细长。花多皱缩成条状，完整者长3.5～5厘米，呈漏斗状，表面紫褐色或棕褐色，花丝6，花丝基部与花被管分离；质软，易破碎。蒴果三棱状圆柱形，长约3厘米。,性平，味甘，有毒。归肺经、肾经。,拔脓解毒，生肌。,用量9～15克，水煎服。将鲜草捣汁外敷，主治乳痈、疮痈肿毒；鲜草捣汁滴耳治中耳炎；将叶浸入菜油中数天，敷贴患外，每日换药1次，治小腿慢性溃疡。,根含皂苷。其疗效与玉簪类似，民间常相互混用。玉簪花含挥发油，亦供药用。夏季花苞待放时采收，每0.5千克花蕾浸泡于2千克麻油中，2个月后，取油外涂，治烧伤。,,,尚不明确。
紫苏子,紫苏子 zisuzi,苏子、黑苏子、铁苏子、任子。,Perillae Fructus。,唇形科植物紫苏Perilla frutescens (L.) Britt.的干燥成熟果实。,,一年生草本。株高达90厘米。茎直立，具槽，绿色或带紫色，密被长柔毛。叶阔卵形或圆形，长7～13厘米，宽4.5～10厘米，基部圆形或阔楔形，先端短尖或突尖，叶缘在基部以上具粗锯齿，两面绿色或紫色，或仅下面紫色，侧脉7～8对。轮伞花序2花，组成偏向一侧的顶生或腋生的总状花序，苞片宽卵圆形或近圆形，外被红褐色腺点。花萼钟形，10脉，下部被长柔毛，夹有黄色腺点，二唇形，上唇宽大，3齿，下唇比上唇稍长，2齿，齿为披针形。花冠白色至紫红色，长2～2.5毫米，2唇形，上唇微缺，下唇3裂，中裂片较大，侧裂片与上唇相近似。雄蕊4，几不外伸，前对雄蕊较长，花柱先端具相等的2裂。小坚果，球形。花期8～9月，果期9～10月。,全国各地广泛栽培。,秋季果实成熟时采收，除去杂质，晒干。,呈卵圆形或类球形，直径约1.5毫米。表面灰棕色或灰褐色，有微隆起的暗紫色网纹，基部稍尖，有灰白色点状果梗痕。果皮薄而脆，易压碎。种子黄白色，种皮膜质，子叶2，类白色，有油性。压碎有香气，味微辛。,性温，味辛。归肺经。,降气化痰，止咳平喘，润肠通便。属泻下药下分类的润下药。,用量3～10克，内服煎汤，或入丸、散。治疗痰壅气逆，咳嗽气喘，肠燥便秘。,紫苏种子含蛋白质17%、油51.7%，油中富含不饱和脂肪酸和亚麻酸56.8%，亚油酸17.6%、甘油三亚油酸酯、α-亚麻酸、甘油三棕榈酸酯、左旋紫苏醛等成分。,①治小儿久咳嗽，喉内痰声如拉锯，老人咳喘：紫苏子3克，杏仁30克(去皮、尖)，老年人加白蜜6克。共为末，大人每服9克，小儿每服3克，白滚水送下。(《滇南本草》苏子散),抗癌。,肺虚咳喘，脾虚便溏者禁服。
紫苏叶,紫苏叶 zisuye,苏叶、紫菜、苏。,Perillae Folium,唇形科植物紫苏Perilla frutescens(L.)Britt.的干燥叶(或带嫩枝)。,,一年生草本，高30～200厘米。具有特殊芳香。茎直立，多分枝，紫色、绿紫色或绿色，钝四棱形，密被长柔毛。叶对生；叶柄长3～5厘米，紫红色或绿色，被长节毛；叶片阔卵形、卵状圆形或卵状三角形，长4～13厘米，宽2.5～10厘米，先端渐尖或突尖，有时呈短尾状，基部圆形或阔楔形，边缘具粗锯齿，有时锯齿较深或浅裂，两面紫色或仅下面紫色，上下两面均疏生柔毛，沿叶脉处较密，叶下面有细油腺点；侧脉7～8对，位于下部者稍靠近，斜上升。轮伞花序，由2花组成偏向一侧成假总状花序，顶生和腋生，花序密被长柔毛；苞片卵形、卵状三角形或披针形，全缘，具缘毛，外面有腺点，边缘膜质；花梗长1～1.5毫米，密被柔毛；花萼钟状，长约3毫米，10脉，外面下部密被长柔毛和有黄色腺点，顶端5齿，2唇，上唇宽大，有3齿，下唇有2齿，结果时增大，基部呈囊状；花冠唇形，长3～4毫米，白色或紫红色，花冠筒内有毛环，外面被柔毛，上唇微凹，下唇3裂，裂片近圆形，中裂片较大；雄蕊4，二强，着生于花冠筒内中部，几不伸出花冠外，花药2室；花盘在前边膨大；雌蕊1，子房4裂，花柱基底着生，柱头2裂；花盘在前边膨大；雌蕊1，子房4裂，花柱基底着生，柱头2裂。小坚果近球形，灰棕色或褐色，直径1～1.3毫米，有网纹，果萼长约10毫米。花期6～8月，果期7～9月。,全国各地广泛栽培。,夏季枝叶茂盛时采收，除去杂质，晒干。,叶多皱缩卷曲，破碎，完整叶片展平后呈卵圆形，长6～14厘米，宽3～11厘米。先端长尖或急尖，基部宽楔形，边缘具圆锯齿；两面均为暗绿色，被疏柔毛；叶柄长2.5～8厘米，密被白色毛茸。质脆，气清香，味微辛。,性温，味辛。归肺经、脾经。,解表散寒，行气和胃。属解表药下属分类的辛温解表药。,内服：煎汤，5～10克。外用：适量，捣敷、研末掺或煎汤洗。用于风寒感冒，咳嗽呕恶，妊娠呕吐，鱼蟹中毒。,本品含紫苏醛、紫苏酮，白苏酮、薄荷醇、高山黄芩苷、新西兰牡荆苷Ⅱ、鹭樱苷等成分。,①治伤风发热：紫苏叶、防风、川芎各4.5克，陈皮3克，甘草1.8克。加生姜二片煎服。(《不知医必要》苏叶汤),具有镇静及较弱的解热作用；可使兴奋性膜产生抑制作用；能促进消化液分泌，增强胃肠蠕动；对呼吸系统，可产生止咳祛痰平喘作用，对血液系统，具有 止血和抗凝血双重作用；升高血糖；调节机体免疫功能，具有抗诱变能力；抗微生物，具有广谱的抗菌作用。对腺苷酸环化酶有轻度抑制作用，有很强的黄嘌呤氧化酶抑制作用；有显著抗氧化作用；尚有抗炎作用。,阴虚、气虚及温病者慎服。
紫苏梗,紫苏梗 zisugeng,紫苏茎、苏梗、紫苏杆、苏茎、紫苏草、紫苏枝茎。,Perillae Caulis。,来源于唇形科植物紫苏Perilla frutescens(L.)Britt.的茎。,,一年生草本。高0.3～1.5米。茎直立，绿色或紫色，密被长柔毛。单叶对生；叶片卵形至宽卵形；叶柄长3～7厘米。轮伞花序，具2花，排成偏于一侧的总状花序，密被长柔毛；苞片宽卵形或近圆形，外被红褐色腺点；花萼钟状，长约3毫米，结果时增长至12毫米，萼齿5，上唇3齿，下唇2齿；花冠白色至紫红色，喉部斜钟形，冠檐二唇形，上唇先端微凹，下唇3裂；雄蕊4枚，2强，药室2，花丝扁平；子房全4裂，花柱基底着生，先端2浅裂，花盘前方膨大呈指状。小坚果近球形，直径1.5～2毫米，表面灰褐色，有微隆起的暗棕色网状花纹。花期6～8月，果期8～10月。,紫苏为栽培品，我国广泛种植。,秋季果实成熟后采割，除去杂质，晒干，或趁鲜切片，晒干。,方柱形，四棱钝圆，长短不一，直径0.5～1.5厘米。表面紫棕色或暗紫色，四面有纵沟及细纵纹，节部稍膨大，有对生的枝痕和叶痕。体轻，质硬，断面裂片状。切片厚2～5毫米，常呈斜长方形，木质部黄白色，射线细密，呈放射状，髓部白色，疏松或脱落。气微香，味淡。,性温，味辛。归肺经、脾经。,理气宽中、止痛、安胎。属理气药。,用量5～9克，煎汤内服。用治胸膈痞闷、胃脘疼痛、暖气呕吐、胎动不安。,含挥发油，油中主要含紫苏醛、1-柠檬烯、α-蒎烯及β-蒎烯、β-丁香烯、α-香柑油烯及芳樟醇等。还含紫苏酮、异白苏烯酮、白苏烯酮、紫苏烯、精氨酸、枯酸、紫苏苷及亚麻酸等。,①治伤寒及温病瘥后，起早及饮食多，致劳复：紫苏茎叶(锉)一两，生姜(切)半两，豉一二合。上三味，用水二盏半，煎至一大盏，去滓。食前温服，日二服。(《普济方》紫苏饮),药理实验表明，具孕激素样作用，与孕酮一样能促进子宫内膜腺体的增长。,尚不明确，谨慎用药。
